Post-RPSBLAST Processing Utility v0.5.1
-------------------------------------------------------
Download:
	ftp://ftp.ncbi.nlm.nih.gov/pub/mmdb/cdd/

Blast applications download:
	ftp://ftp.ncbi.nlm.nih.gov/blast/executables/blast+/LATEST/

For more information please refer to the README file
RPSBlast session 0 start...
Calculating....
End processing Query U00096.3_2701_#_2873387_#_2873992_#_-1_#_ID=1_2701;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.521
End processing Query U00096.3_2702_#_2873992_#_2875419_#_-1_#_ID=1_2702;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.547
End processing Query U00096.3_2703_#_2875421_#_2876329_#_-1_#_ID=1_2703;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.530
End processing Query U00096.3_2704_#_2876581_#_2877618_#_1_#_ID=1_2704;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.493
End processing Query U00096.3_2705_#_2878569_#_2878853_#_-1_#_ID=1_2705;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
End processing Query U00096.3_2706_#_2878855_#_2879772_#_-1_#_ID=1_2706;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.511
End processing Query U00096.3_2707_#_2879788_#_2880387_#_-1_#_ID=1_2707;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.455
End processing Query U00096.3_2708_#_2880374_#_2881048_#_-1_#_ID=1_2708;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.481
End processing Query U00096.3_2709_#_2881051_#_2882142_#_-1_#_ID=1_2709;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.434
End processing Query U00096.3_2710_#_2882155_#_2882637_#_-1_#_ID=1_2710;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.460
End processing Query U00096.3_2711_#_2882630_#_2884138_#_-1_#_ID=1_2711;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.437
End processing Query U00096.3_2712_#_2884553_#_2887219_#_-1_#_ID=1_2712;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.447
End processing Query U00096.3_2713_#_2887578_#_2888312_#_-1_#_ID=1_2713;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.506
End processing Query U00096.3_2714_#_2888387_#_2890099_#_-1_#_ID=1_2714;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560
End processing Query U00096.3_2715_#_2890099_#_2891898_#_-1_#_ID=1_2715;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.561
End processing Query U00096.3_2716_#_2892214_#_2892579_#_1_#_ID=1_2716;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.495
End processing Query U00096.3_2717_#_2892657_#_2893928_#_1_#_ID=1_2717;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.553
End processing Query U00096.3_2718_#_2893919_#_2894179_#_1_#_ID=1_2718;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.552
End processing Query U00096.3_2719_#_2894196_#_2894771_#_1_#_ID=1_2719;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.465
End processing Query U00096.3_2720_#_2894919_#_2895779_#_-1_#_ID=1_2720;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.559
End processing Query U00096.3_2721_#_2895776_#_2896555_#_-1_#_ID=1_2721;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.556
End processing Query U00096.3_2722_#_2896533_#_2897942_#_-1_#_ID=1_2722;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.533
End processing Query U00096.3_2723_#_2897964_#_2899418_#_-1_#_ID=1_2723;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506
End processing Query U00096.3_2724_#_2899488_#_2900273_#_-1_#_ID=1_2724;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.455
End processing Query U00096.3_2725_#_2900592_#_2901869_#_1_#_ID=1_2725;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.497
End processing Query U00096.3_2726_#_2901896_#_2903374_#_1_#_ID=1_2726;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.490
End processing Query U00096.3_2727_#_2904747_#_2905418_#_-1_#_ID=1_2727;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.515
End processing Query U00096.3_2728_#_2905557_#_2905697_#_1_#_ID=1_2728;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.241
End processing Query U00096.3_2729_#_2905711_#_2906583_#_1_#_ID=1_2729;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.411
